HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Beta_vulgaris	Betula_pendula	Camellia_sinensis	Cinnamomum_kanehirae	Cucumis_sativus	Eucalyptus_grandis	Ginkgo_biloba	Malania_oleifera	Malus_domestica	Medicago_truncatula	Mimulus_guttatus	Nicotiana_tabacum	Physcomitrella_patens	Picea_abies	Pinus_tabuliformis	Populus_tremula	Prunus_avium	Salix_purpurea	Sequoiadendron_giganteum	Taxus_chinensis	Vitis_vinifera	Welwitschia_mirabilis	Zostera_marina
N21.HOG0006097	OG0001038	n5						Cucsa.285060.1.v1.122 gene=Cucsa.285060.v1 seq_id=scaffold02653 type=cds, Cucsa.277210.1.v1.122 gene=Cucsa.277210.v1 seq_id=scaffold02601 type=cds																		
N21.HOG0006098	OG0001038	n44			Betpen_Bpev01.c0281.g0064.m0002, Betpen_Bpev01.c0281.g0064.m0001			Cucsa.338880.1.v1.122 gene=Cucsa.338880.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0006099	OG0001039	n2						Cucsa.192250.1.v1.122 gene=Cucsa.192250.v1 seq_id=scaffold01333 type=cds																		
N21.HOG0006100	OG0001039	n96						Cucsa.346710.1.v1.122 gene=Cucsa.346710.v1 seq_id=scaffold03455 type=cds																		
N21.HOG0006101	OG0001042	n37						Cucsa.011150.1.v1.122 gene=Cucsa.011150.v1 seq_id=scaffold00154 type=cds																		
N21.HOG0006102	OG0001042	n49			Betpen_Bpev01.c0038.g0098.m0001			Cucsa.394530.1.v1.122 gene=Cucsa.394530.v1 seq_id=scaffold04100 type=cds, Cucsa.286570.1.v1.122 gene=Cucsa.286570.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0006103	OG0001042	n64			Betpen_Bpev01.c0430.g0013.m0001			Cucsa.386040.1.v1.122 gene=Cucsa.386040.v1 seq_id=scaffold03904 type=cds																		
N21.HOG0006104	OG0001043	n23			Betpen_Bpev01.c0536.g0008.m0001, Betpen_Bpev01.c0536.g0009.m0001																					
N21.HOG0006105	OG0001043	n39						Cucsa.199720.1.v1.122 gene=Cucsa.199720.v1 seq_id=scaffold01365 type=cds																		
N21.HOG0006106	OG0001043	n43			Betpen_Bpev01.c1599.g0002.m0001			Cucsa.364660.1.v1.122 gene=Cucsa.364660.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0006107	OG0001043	n60			Betpen_Bpev01.c0536.g0011.m0001, Betpen_Bpev01.c0536.g0010.m0001, Betpen_Bpev01.c0536.g0012.m0001																					
N21.HOG0006108	OG0001043	n84			Betpen_Bpev01.c0320.g0003.m0001			Cucsa.032950.1.v1.122 gene=Cucsa.032950.v1 seq_id=scaffold00429 type=cds																		
N21.HOG0006109	OG0001043	n102						Cucsa.032940.1.v1.122 gene=Cucsa.032940.v1 seq_id=scaffold00429 type=cds																		
N21.HOG0006110	OG0001044	n20			Betpen_Bpev01.c0532.g0009.m0001			Cucsa.309410.1.v1.122 gene=Cucsa.309410.v1 seq_id=scaffold02980 type=cds																		
N21.HOG0006111	OG0001044	n58						Cucsa.292790.1.v1.122 gene=Cucsa.292790.v1 seq_id=scaffold02779 type=cds, Cucsa.132010.1.v1.122 gene=Cucsa.132010.v1 seq_id=scaffold01037 type=cds																		
N21.HOG0006112	OG0001044	n63			Betpen_Bpev01.c0605.g0010.m0001																					
N21.HOG0006113	OG0001044	n85			Betpen_Bpev01.c1329.g0004.m0001			Cucsa.302000.1.v1.122 gene=Cucsa.302000.v1 seq_id=scaffold02951 type=cds, Cucsa.320700.1.v1.122 gene=Cucsa.320700.v1 seq_id=scaffold03080 type=cds																		
N21.HOG0006114	OG0001045	n6			Betpen_Bpev01.c0237.g0031.m0002, Betpen_Bpev01.c0237.g0031.m0001			Cucsa.299590.1.v1.122 gene=Cucsa.299590.v1 seq_id=scaffold02920 type=cds																		
N21.HOG0006115	OG0001045	n62			Betpen_Bpev01.c0962.g0018.m0001			Cucsa.032340.1.v1.122 gene=Cucsa.032340.v1 seq_id=scaffold00429 type=cds																		
N21.HOG0006116	OG0001045	n89			Betpen_Bpev01.c1466.g0004.m0001			Cucsa.076960.1.v1.122 gene=Cucsa.076960.v1 seq_id=scaffold00791 type=cds																		
N21.HOG0006117	OG0001046	n3			Betpen_Bpev01.c0799.g0001.m0001																					
N21.HOG0006118	OG0001046	n11			Betpen_Bpev01.c0828.g0013.m0001			Cucsa.160950.1.v1.122 gene=Cucsa.160950.v1 seq_id=scaffold01144 type=cds																		
N21.HOG0006119	OG0001046	n30			Betpen_Bpev01.c0890.g0009.m0001			Cucsa.098420.1.v1.122 gene=Cucsa.098420.v1 seq_id=scaffold00923 type=cds																		
N21.HOG0006120	OG0001046	n60			Betpen_Bpev01.c0038.g0019.m0001																					
N21.HOG0006121	OG0001047	n3			Betpen_Bpev01.c0833.g0004.m0001			Cucsa.058670.1.v1.122 gene=Cucsa.058670.v1 seq_id=scaffold00614 type=cds																		
N21.HOG0006122	OG0001047	n33			Betpen_Bpev01.c0574.g0011.m0001			Cucsa.395610.1.v1.122 gene=Cucsa.395610.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0006123	OG0001047	n69			Betpen_Bpev01.c0050.g0152.m0001			Cucsa.037180.1.v1.122 gene=Cucsa.037180.v1 seq_id=scaffold00476 type=cds																		
N21.HOG0006124	OG0001047	n89			Betpen_Bpev01.c0215.g0041.m0001			Cucsa.255600.2.v1.122 gene=Cucsa.255600.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0006125	OG0001048	n13						Cucsa.212590.1.v1.122 gene=Cucsa.212590.v1 seq_id=scaffold01543 type=cds																		
N21.HOG0006126	OG0001048	n16			Betpen_Bpev01.c0240.g0038.m0001																					
N21.HOG0006127	OG0001048	n25						Cucsa.047390.1.v1.122 gene=Cucsa.047390.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0006128	OG0001048	n86			Betpen_Bpev01.c0245.g0010.m0001			Cucsa.253870.1.v1.122 gene=Cucsa.253870.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0006129	OG0001049	n1			Betpen_Bpev01.c1337.g0006.m0001			Cucsa.113720.1.v1.122 gene=Cucsa.113720.v1 seq_id=scaffold00953 type=cds																		
N21.HOG0006130	OG0001049	n52			Betpen_Bpev01.c0390.g0008.m0001			Cucsa.228090.1.v1.122 gene=Cucsa.228090.v1 seq_id=scaffold01933 type=cds																		
N21.HOG0006131	OG0001049	n81			Betpen_Bpev01.c0088.g0094.m0001			Cucsa.060650.1.v1.122 gene=Cucsa.060650.v1 seq_id=scaffold00635 type=cds, Cucsa.125360.1.v1.122 gene=Cucsa.125360.v1 seq_id=scaffold01004 type=cds, Cucsa.125350.1.v1.122 gene=Cucsa.125350.v1 seq_id=scaffold01004 type=cds																		
N21.HOG0006132	OG0001050	n14						Cucsa.256400.1.v1.122 gene=Cucsa.256400.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0006133	OG0001050	n18			Betpen_Bpev01.c0016.g0069.m0001			Cucsa.266320.1.v1.122 gene=Cucsa.266320.v1 seq_id=scaffold02352 type=cds																		
N21.HOG0006134	OG0001050	n23			Betpen_Bpev01.c0000.g0097.m0001																					
N21.HOG0006135	OG0001050	n57			Betpen_Bpev01.c0027.g0181.m0002, Betpen_Bpev01.c0027.g0181.m0001																					
N21.HOG0006136	OG0001050	n80			Betpen_Bpev01.c2423.g0003.m0001			Cucsa.219940.1.v1.122 gene=Cucsa.219940.v1 seq_id=scaffold01658 type=cds																		
N21.HOG0006137	OG0001050	n102						Cucsa.078300.1.v1.122 gene=Cucsa.078300.v1 seq_id=scaffold00793 type=cds, Cucsa.150270.1.v1.122 gene=Cucsa.150270.v1 seq_id=scaffold01110 type=cds																		
N21.HOG0006138	OG0001052	n34						Cucsa.362930.1.v1.122 gene=Cucsa.362930.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0006139	OG0001052	n45			Betpen_Bpev01.c0516.g0015.m0001																					
N21.HOG0006140	OG0001052	n47			Betpen_Bpev01.c0067.g0005.m0001, Betpen_Bpev01.c0020.g0003.m0001																					
N21.HOG0006141	OG0001053	n10						Cucsa.047330.1.v1.122 gene=Cucsa.047330.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0006142	OG0001053	n46			Betpen_Bpev01.c1040.g0023.m0001			Cucsa.150940.1.v1.122 gene=Cucsa.150940.v1 seq_id=scaffold01115 type=cds																		
N21.HOG0006143	OG0001053	n64			Betpen_Bpev01.c0324.g0013.m0001			Cucsa.157480.1.v1.122 gene=Cucsa.157480.v1 seq_id=scaffold01141 type=cds																		
N21.HOG0006144	OG0001054	n23			Betpen_Bpev01.c0682.g0010.m0001																					
N21.HOG0006145	OG0001054	n37			Betpen_Bpev01.c0777.g0025.m0001			Cucsa.396020.1.v1.122 gene=Cucsa.396020.v1 seq_id=scaffold04100 type=cds, Cucsa.396010.1.v1.122 gene=Cucsa.396010.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0006146	OG0001054	n72						Cucsa.346070.1.v1.122 gene=Cucsa.346070.v1 seq_id=scaffold03443 type=cds																		
N21.HOG0006147	OG0001054	n94			Betpen_Bpev01.c0501.g0002.m0001																					
N21.HOG0006148	OG0001054	n96			Betpen_Bpev01.c0501.g0004.m0001																					
N21.HOG0006149	OG0001055	n42			Betpen_Bpev01.c0582.g0002.m0001			Cucsa.254670.1.v1.122 gene=Cucsa.254670.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0006150	OG0001055	n64			Betpen_Bpev01.c0571.g0007.m0001			Cucsa.123280.1.v1.122 gene=Cucsa.123280.v1 seq_id=scaffold01000 type=cds																		
N21.HOG0006151	OG0001055	n82			Betpen_Bpev01.c0289.g0022.m0001			Cucsa.046110.1.v1.122 gene=Cucsa.046110.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0006152	OG0001057	n1			Betpen_Bpev01.c0038.g0055.m0001			Cucsa.286260.1.v1.122 gene=Cucsa.286260.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0006153	OG0001057	n62			Betpen_Bpev01.c0062.g0057.m0001, Betpen_Bpev01.c0062.g0056.m0001			Cucsa.339820.1.v1.122 gene=Cucsa.339820.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0006154	OG0001057	n85			Betpen_Bpev01.c0038.g0032.m0001			Cucsa.394250.1.v1.122 gene=Cucsa.394250.v1 seq_id=scaffold04100 type=cds, Cucsa.286150.1.v1.122 gene=Cucsa.286150.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0006155	OG0001058	n11			Betpen_Bpev01.c0088.g0006.m0001			Cucsa.280830.1.v1.122 gene=Cucsa.280830.v1 seq_id=scaffold02633 type=cds																		
N21.HOG0006156	OG0001058	n36			Betpen_Bpev01.c0080.g0035.m0001			Cucsa.238180.1.v1.122 gene=Cucsa.238180.v1 seq_id=scaffold02023 type=cds																		
N21.HOG0006157	OG0001058	n62			Betpen_Bpev01.c0163.g0022.m0001			Cucsa.103490.1.v1.122 gene=Cucsa.103490.v1 seq_id=scaffold00927 type=cds																		
N21.HOG0006158	OG0001059	n8						Cucsa.041500.1.v1.122 gene=Cucsa.041500.v1 seq_id=scaffold00540 type=cds																		
N21.HOG0006159	OG0001059	n48			Betpen_Bpev01.c0044.g0009.m0001			Cucsa.189460.1.v1.122 gene=Cucsa.189460.v1 seq_id=scaffold01305 type=cds																		
N21.HOG0006160	OG0001059	n74						Cucsa.365090.1.v1.122 gene=Cucsa.365090.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0006161	OG0001059	n78			Betpen_Bpev01.c0154.g0047.m0001			Cucsa.130270.1.v1.122 gene=Cucsa.130270.v1 seq_id=scaffold01029 type=cds																		
N21.HOG0006162	OG0001061	n16			Betpen_Bpev01.c0848.g0010.m0001			Cucsa.285640.1.v1.122 gene=Cucsa.285640.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0006163	OG0001061	n31						Cucsa.136130.1.v1.122 gene=Cucsa.136130.v1 seq_id=scaffold01044 type=cds																		
N21.HOG0006164	OG0001061	n55			Betpen_Bpev01.c0134.g0117.m0001			Cucsa.077470.1.v1.122 gene=Cucsa.077470.v1 seq_id=scaffold00791 type=cds																		
N21.HOG0006165	OG0001062	n25			Betpen_Bpev01.c1170.g0014.m0001			Cucsa.352670.1.v1.122 gene=Cucsa.352670.v1 seq_id=scaffold03533 type=cds, Cucsa.395780.1.v1.122 gene=Cucsa.395780.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0006166	OG0001062	n40			Betpen_Bpev01.c0280.g0003.m0001			Cucsa.097370.1.v1.122 gene=Cucsa.097370.v1 seq_id=scaffold00919 type=cds																		
N21.HOG0006167	OG0001062	n64			Betpen_Bpev01.c0189.g0072.m0001			Cucsa.153180.2.v1.122 gene=Cucsa.153180.v1 seq_id=scaffold01124 type=cds																		
N21.HOG0006168	OG0001063	n11			Betpen_Bpev01.c0223.g0039.m0001			Cucsa.138450.1.v1.122 gene=Cucsa.138450.v1 seq_id=scaffold01063 type=cds																		
N21.HOG0006169	OG0001063	n40			Betpen_Bpev01.c0147.g0012.m0001			Cucsa.340780.1.v1.122 gene=Cucsa.340780.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0006170	OG0001064	n10			Betpen_Bpev01.c0448.g0004.m0001, Betpen_Bpev01.c0015.g0268.m0001			Cucsa.250460.1.v1.122 gene=Cucsa.250460.v1 seq_id=scaffold02219 type=cds																		
N21.HOG0006171	OG0001064	n37						Cucsa.101720.1.v1.122 gene=Cucsa.101720.v1 seq_id=scaffold00927 type=cds																		
N21.HOG0006172	OG0001064	n47			Betpen_Bpev01.c0145.g0029.m0001																					
N21.HOG0006173	OG0001065	n55						Cucsa.360270.1.v1.122 gene=Cucsa.360270.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0006174	OG0001065	n73			Betpen_Bpev01.c0051.g0120.m0001, Betpen_Bpev01.c0051.g0119.m0001																					
N21.HOG0006175	OG0001066	n5			Betpen_Bpev01.c1901.g0006.m0001			Cucsa.111620.1.v1.122 gene=Cucsa.111620.v1 seq_id=scaffold00953 type=cds																		
N21.HOG0006176	OG0001066	n66			Betpen_Bpev01.c1108.g0011.m0001			Cucsa.197590.1.v1.122 gene=Cucsa.197590.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0006177	OG0001066	n79			Betpen_Bpev01.c0281.g0030.m0001, Betpen_Bpev01.c0281.g0029.m0001			Cucsa.339020.1.v1.122 gene=Cucsa.339020.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0006178	OG0001067	n17			Betpen_Bpev01.c2183.g0002.m0001																					
N21.HOG0006179	OG0001067	n25						Cucsa.386610.1.v1.122 gene=Cucsa.386610.v1 seq_id=scaffold03918 type=cds																		
N21.HOG0006180	OG0001067	n30			Betpen_Bpev01.c0312.g0034.m0001																					
N21.HOG0006181	OG0001067	n45						Cucsa.016360.1.v1.122 gene=Cucsa.016360.v1 seq_id=scaffold00227 type=cds																		
N21.HOG0006182	OG0001067	n69			Betpen_Bpev01.c0304.g0018.m0001			Cucsa.032900.1.v1.122 gene=Cucsa.032900.v1 seq_id=scaffold00429 type=cds																		
N21.HOG0006183	OG0001068	n8			Betpen_Bpev01.c0996.g0029.m0001																					
N21.HOG0006184	OG0001068	n30						Cucsa.332440.1.v1.122 gene=Cucsa.332440.v1 seq_id=scaffold03264 type=cds																		
N21.HOG0006185	OG0001068	n33			Betpen_Bpev01.c0389.g0063.m0001, Betpen_Bpev01.c0996.g0028.m0001																					
N21.HOG0006186	OG0001068	n76			Betpen_Bpev01.c0422.g0024.m0001																					
N21.HOG0006187	OG0001069	n97			Betpen_Bpev01.c0636.g0012.m0001																					
N21.HOG0006188	OG0001071	n19			Betpen_Bpev01.c2165.g0004.m0001																					
N21.HOG0006189	OG0001071	n29			Betpen_Bpev01.c0115.g0031.m0001																					
N21.HOG0006190	OG0001071	n34						Cucsa.130400.1.v1.122 gene=Cucsa.130400.v1 seq_id=scaffold01029 type=cds																		
N21.HOG0006191	OG0001071	n57			Betpen_Bpev01.c0094.g0085.m0001			Cucsa.089310.1.v1.122 gene=Cucsa.089310.v1 seq_id=scaffold00894 type=cds																		
N21.HOG0006192	OG0001072	n9			Betpen_Bpev01.c1470.g0005.m0001, Betpen_Bpev01.c1470.g0004.m0001, Betpen_Bpev01.c3364.g0001.m0001			Cucsa.379780.1.v1.122 gene=Cucsa.379780.v1 seq_id=scaffold03837 type=cds, Cucsa.213440.1.v1.122 gene=Cucsa.213440.v1 seq_id=scaffold01543 type=cds																		
N21.HOG0006193	OG0001072	n32			Betpen_Bpev01.c0843.g0013.m0001, Betpen_Bpev01.c0843.g0012.m0001, Betpen_Bpev01.c0843.g0014.m0001			Cucsa.065840.1.v1.122 gene=Cucsa.065840.v1 seq_id=scaffold00696 type=cds, Cucsa.307500.1.v1.122 gene=Cucsa.307500.v1 seq_id=scaffold02977 type=cds																		
N21.HOG0006194	OG0001072	n57			Betpen_Bpev01.c1206.g0010.m0001			Cucsa.165700.1.v1.122 gene=Cucsa.165700.v1 seq_id=scaffold01153 type=cds																		
N21.HOG0006195	OG0001073	n32			Betpen_Bpev01.c0016.g0013.m0001			Cucsa.256090.1.v1.122 gene=Cucsa.256090.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0006196	OG0001073	n35			Betpen_Bpev01.c0016.g0014.m0001																					
N21.HOG0006197	OG0001073	n37			Betpen_Bpev01.c1206.g0006.m0001			Cucsa.165650.1.v1.122 gene=Cucsa.165650.v1 seq_id=scaffold01153 type=cds																		
N21.HOG0006198	OG0001073	n49			Betpen_Bpev01.c1206.g0005.m0001																					
N21.HOG0006199	OG0001073	n69						Cucsa.134380.1.v1.122 gene=Cucsa.134380.v1 seq_id=scaffold01043 type=cds, Cucsa.165640.1.v1.122 gene=Cucsa.165640.v1 seq_id=scaffold01153 type=cds																		
N21.HOG0006200	OG0001073	n78			Betpen_Bpev01.c0396.g0002.m0001, Betpen_Bpev01.c1206.g0004.m0001																					
N21.HOG0006201	OG0001074	n39			Betpen_Bpev01.c0335.g0034.m0002, Betpen_Bpev01.c0335.g0034.m0001			Cucsa.374410.1.v1.122 gene=Cucsa.374410.v1 seq_id=scaffold03733 type=cds																		
N21.HOG0006202	OG0001074	n81			Betpen_Bpev01.c0328.g0026.m0001			Cucsa.219880.1.v1.122 gene=Cucsa.219880.v1 seq_id=scaffold01658 type=cds																		
N21.HOG0006203	OG0001075	n7			Betpen_Bpev01.c0374.g0007.m0001			Cucsa.121770.1.v1.122 gene=Cucsa.121770.v1 seq_id=scaffold00999 type=cds																		
N21.HOG0006204	OG0001075	n23			Betpen_Bpev01.c0890.g0005.m0001, Betpen_Bpev01.c1575.g0001.m0001																					
N21.HOG0006205	OG0001075	n47			Betpen_Bpev01.c0890.g0002.m0001																					
N21.HOG0006206	OG0001075	n68			Betpen_Bpev01.c1042.g0001.m0001			Cucsa.161040.1.v1.122 gene=Cucsa.161040.v1 seq_id=scaffold01144 type=cds																		
N21.HOG0006207	OG0001075	n87			Betpen_Bpev01.c0704.g0007.m0001			Cucsa.360980.1.v1.122 gene=Cucsa.360980.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0006208	OG0001076	n10						Cucsa.342300.1.v1.122 gene=Cucsa.342300.1.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0006209	OG0001076	n11			Betpen_Bpev01.c0874.g0006.m0001			Cucsa.127410.1.v1.122 gene=Cucsa.127410.v1 seq_id=scaffold01019 type=cds, Cucsa.201410.1.v1.122 gene=Cucsa.201410.v1 seq_id=scaffold01374 type=cds																		
N21.HOG0006210	OG0001076	n36			Betpen_Bpev01.c1229.g0022.m0001																					
N21.HOG0006211	OG0001076	n71						Cucsa.059150.1.v1.122 gene=Cucsa.059150.v1 seq_id=scaffold00614 type=cds																		
N21.HOG0006212	OG0001076	n85						Cucsa.276250.1.v1.122 gene=Cucsa.276250.v1 seq_id=scaffold02588 type=cds																		
N21.HOG0006213	OG0001077	n7			Betpen_Bpev01.c0577.g0032.m0001			Cucsa.191610.1.v1.122 gene=Cucsa.191610.v1 seq_id=scaffold01330 type=cds																		
N21.HOG0006214	OG0001077	n42			Betpen_Bpev01.c1517.g0004.m0001			Cucsa.109200.1.v1.122 gene=Cucsa.109200.v1 seq_id=scaffold00934 type=cds																		
N21.HOG0006215	OG0001077	n73			Betpen_Bpev01.c1952.g0007.m0001			Cucsa.212610.1.v1.122 gene=Cucsa.212610.v1 seq_id=scaffold01543 type=cds																		
N21.HOG0006216	OG0001078	n6			Betpen_Bpev01.c0402.g0024.m0001			Cucsa.363720.1.v1.122 gene=Cucsa.363720.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0006217	OG0001078	n62			Betpen_Bpev01.c0714.g0005.m0001			Cucsa.356970.2.v1.122 gene=Cucsa.356970.v1 seq_id=scaffold03577 type=cds																		
N21.HOG0006218	OG0001078	n80			Betpen_Bpev01.c0000.g0075.m0001			Cucsa.140330.1.v1.122 gene=Cucsa.140330.v1 seq_id=scaffold01071 type=cds																		
N21.HOG0006219	OG0001079	n5			Betpen_Bpev01.c1581.g0001.m0001, Betpen_Bpev01.c1853.g0002.m0001, Betpen_Bpev01.c1581.g0003.m0001, Betpen_Bpev01.c1581.g0003.m0002, Betpen_Bpev01.c2716.g0001.m0001			Cucsa.086410.1.v1.122 gene=Cucsa.086410.v1 seq_id=scaffold00870 type=cds																		
N21.HOG0006220	OG0001079	n85			Betpen_Bpev01.c1581.g0002.m0001			Cucsa.018630.1.v1.122 gene=Cucsa.018630.v1 seq_id=scaffold00261 type=cds																		
N21.HOG0006221	OG0001079	n97			Betpen_Bpev01.c1581.g0004.m0001, Betpen_Bpev01.c1853.g0001.m0001, Betpen_Bpev01.c2999.g0001.m0001																					
N21.HOG0006222	OG0001079	n102						Cucsa.086400.1.v1.122 gene=Cucsa.086400.v1 seq_id=scaffold00870 type=cds, Cucsa.086420.1.v1.122 gene=Cucsa.086420.v1 seq_id=scaffold00870 type=cds																		
N21.HOG0006223	OG0001080	n45			Betpen_Bpev01.c0127.g0110.m0001			Cucsa.045350.1.v1.122 gene=Cucsa.045350.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0006224	OG0001080	n59			Betpen_Bpev01.c0963.g0015.m0001			Cucsa.356880.1.v1.122 gene=Cucsa.356880.v1 seq_id=scaffold03577 type=cds, Cucsa.059800.1.v1.122 gene=Cucsa.059800.v1 seq_id=scaffold00621 type=cds																		
N21.HOG0006225	OG0001080	n82			Betpen_Bpev01.c0001.g0096.m0001			Cucsa.257380.1.v1.122 gene=Cucsa.257380.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0006226	OG0001081	n30						Cucsa.112300.1.v1.122 gene=Cucsa.112300.v1 seq_id=scaffold00953 type=cds																		
N21.HOG0006227	OG0001081	n45			Betpen_Bpev01.c0123.g0022.m0001			Cucsa.014090.1.v1.122 gene=Cucsa.014090.v1 seq_id=scaffold00178 type=cds																		
N21.HOG0006228	OG0001081	n59			Betpen_Bpev01.c1759.g0005.m0001			Cucsa.026460.1.v1.122 gene=Cucsa.026460.v1 seq_id=scaffold00368 type=cds, Cucsa.377430.1.v1.122 gene=Cucsa.377430.v1 seq_id=scaffold03805 type=cds																		
N21.HOG0006229	OG0001082	n27						Cucsa.008280.1.v1.122 gene=Cucsa.008280.v1 seq_id=scaffold00100 type=cds																		
N21.HOG0006230	OG0001082	n29						Cucsa.244630.2.v1.122 gene=Cucsa.244630.v1 seq_id=scaffold02135 type=cds																		
N21.HOG0006231	OG0001082	n38			Betpen_Bpev01.c1338.g0014.m0001			Cucsa.176060.1.v1.122 gene=Cucsa.176060.v1 seq_id=scaffold01225 type=cds																		
N21.HOG0006232	OG0001082	n81			Betpen_Bpev01.c0115.g0022.m0001																					
N21.HOG0006233	OG0001083	n14			Betpen_Bpev01.c0852.g0005.m0001, Betpen_Bpev01.c1352.g0011.m0001			Cucsa.185140.1.v1.122 gene=Cucsa.185140.v1 seq_id=scaffold01274 type=cds																		
N21.HOG0006234	OG0001083	n62			Betpen_Bpev01.c0772.g0006.m0001			Cucsa.152920.1.v1.122 gene=Cucsa.152920.v1 seq_id=scaffold01124 type=cds																		
N21.HOG0006235	OG0001084	n58			Betpen_Bpev01.c0736.g0010.m0001																					
N21.HOG0006236	OG0001084	n72			Betpen_Bpev01.c0044.g0008.m0001, Betpen_Bpev01.c0044.g0005.m0001			Cucsa.356630.1.v1.122 gene=Cucsa.356630.v1 seq_id=scaffold03577 type=cds																		
N21.HOG0006237	OG0001084	n102						Cucsa.388300.1.v1.122 gene=Cucsa.388300.v1 seq_id=scaffold03967 type=cds																		
N21.HOG0006238	OG0001085	n44			Betpen_Bpev01.c0321.g0017.m0001			Cucsa.165850.1.v1.122 gene=Cucsa.165850.v1 seq_id=scaffold01153 type=cds																		
N21.HOG0006239	OG0001085	n77			Betpen_Bpev01.c0467.g0016.m0001			Cucsa.307350.1.v1.122 gene=Cucsa.307350.v1 seq_id=scaffold02977 type=cds, Cucsa.307330.1.v1.122 gene=Cucsa.307330.v1 seq_id=scaffold02977 type=cds, Cucsa.307370.1.v1.122 gene=Cucsa.307370.v1 seq_id=scaffold02977 type=cds																		
N21.HOG0006240	OG0001086	n29			Betpen_Bpev01.c0158.g0032.m0001, Betpen_Bpev01.c0158.g0031.m0001																					
N21.HOG0006241	OG0001086	n71			Betpen_Bpev01.c1534.g0002.m0001																					
N21.HOG0006242	OG0001086	n74			Betpen_Bpev01.c1534.g0001.m0001, Betpen_Bpev01.c0505.g0001.m0001			Cucsa.012820.1.v1.122 gene=Cucsa.012820.v1 seq_id=scaffold00164 type=cds																		
N21.HOG0006243	OG0001089	n5			Betpen_Bpev01.c0134.g0036.m0001			Cucsa.271870.1.v1.122 gene=Cucsa.271870.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0006244	OG0001089	n33			Betpen_Bpev01.c0667.g0021.m0001																					
N21.HOG0006245	OG0001089	n53			Betpen_Bpev01.c0016.g0081.m0001			Cucsa.193910.1.v1.122 gene=Cucsa.193910.v1 seq_id=scaffold01337 type=cds																		
N21.HOG0006246	OG0001090	n10			Betpen_Bpev01.c0080.g0010.m0001																					
N21.HOG0006247	OG0001090	n33			Betpen_Bpev01.c0088.g0057.m0001																					
N21.HOG0006248	OG0001090	n74			Betpen_Bpev01.c0015.g0177.m0001			Cucsa.339270.1.v1.122 gene=Cucsa.339270.v1 seq_id=scaffold03356 type=cds, Cucsa.177370.1.v1.122 gene=Cucsa.177370.v1 seq_id=scaffold01225 type=cds																		
N21.HOG0006249	OG0001091	n20			Betpen_Bpev01.c1810.g0004.m0001																					
N21.HOG0006250	OG0001091	n45						Cucsa.360660.1.v1.122 gene=Cucsa.360660.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0006251	OG0001091	n52			Betpen_Bpev01.c0051.g0011.m0001			Cucsa.397210.1.v1.122 gene=Cucsa.397210.v1 seq_id=scaffold04146 type=cds																		
N21.HOG0006252	OG0001092	n20			Betpen_Bpev01.c0734.g0004.m0001																					
N21.HOG0006253	OG0001092	n32			Betpen_Bpev01.c0489.g0006.m0001																					
N21.HOG0006254	OG0001092	n36			Betpen_Bpev01.c3183.g0002.m0001																					
N21.HOG0006255	OG0001092	n40			Betpen_Bpev01.c1798.g0004.m0001			Cucsa.122100.1.v1.122 gene=Cucsa.122100.v1 seq_id=scaffold00999 type=cds																		
N21.HOG0006256	OG0001092	n74						Cucsa.192100.1.v1.122 gene=Cucsa.192100.v1 seq_id=scaffold01333 type=cds																		
N21.HOG0006257	OG0001092	n82			Betpen_Bpev01.c0655.g0004.m0001																					
N21.HOG0006258	OG0001092	n89			Betpen_Bpev01.c0120.g0020.m0001																					
